item_code,advt_no,details,link,published
1.74649E+12,202502,"CAVEAT SUCHANA FOR PSYCHIATRY SPECIALIST, PATHOLOGY SPECIALIST, CLINICAL PSYCHOLOGIST, COUNSELLOR PSYCHIATRY-2025 (06-05-2025)",/assets/pdf/NOTIFICATIONS/CAVEAT_SUCHANA_MEDICAL_SPECIALIST_OTHERS_2025_06052025.pdf,1
1.7464E+12,202403,ANNEXURE-I,/assets/pdf/NOTIFICATIONS/Annexure-1_SSE_Mains_2024.pdf,1
1.7464E+12,202403,NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2024 (05-05-2025),/assets/pdf/NOTIFICATIONS/Noti_SSME_2024_05052025.pdf,1
1.74433E+12,202404,NOTIFICATION- POSTPONEMENT OF CIVIL JUDGE (JUNIOR DIVISION) PRELIMS EXAM-2024 (11-04-2025),/assets/pdf/NOTIFICATIONS/POSTPONEMENT_CJJD_PRELIMS_2024_11042025.pdf,1
1.74433E+12,888888,NOTIFICATION- MOBILE NUMBER UPDATION IN PROFILE REGISTRATION (11-04-2025),/assets/pdf/NOTIFICATIONS/MOBILE_NO_UPDATION_PROFILE_11042025.pdf,1
1.74398E+12,888888,LIST OF DEBARRED CANDIDATES BY UPSC AND VARIOUS STATE PSC (07-04-2025),/assets/pdf/NOTIFICATIONS/DEBARED_LIST_BY_UPSC_SPSC_07042025.pdf,1
1.74398E+12,202501,CAVEAT SUCHANA FOR ASSISTANT DIRECTOR INDUSTRY/MANAGER EXAM-2025 (07-04-2025),/assets/pdf/NOTIFICATIONS/Caveat_Suchana_ADI_2025_07042025.pdf,1
1.74398E+12,202404,CAVEAT SUCHANA FOR CIVIL JUDGE (JUNIOR DIVISION) EXAM-2024 (07-04-2025),/assets/pdf/NOTIFICATIONS/Caveat_Suchana_CJJD_2024_07042025.pdf,1
1.74398E+12,202401,CAVEAT SUCHANA FOR BOILER INSPECTOR EXAM-2024 (07-04-2025),/assets/pdf/NOTIFICATIONS/Caveat_Suchana_BI_2024_07042025.pdf,1
1.74398E+12,202207,CAVEAT SUCHANA FOR MINING INSPECTOR EXAM-2022 (07-04-2025),/assets/pdf/NOTIFICATIONS/Caveat_Suchana_MI_2022_07042025.pdf,1
1.74364E+12,202401,NOTIFICATION FOR SCRIBE IN BOILER INSPECTOR EXAM-2024 (03-04-2025),/assets/pdf/NOTIFICATIONS/Noti_BI2024_SCRIBE_03042025.pdf,1
1.74174E+12,999999,SHORT TENDER NOTICE FOR SALE (VAAHAN) - 2025 (12-03-2025),/assets/pdf/NOTIFICATIONS/Short_Tender_Notice_Vahan_12032025.pdf,1
1.74165E+12,202403,CAVEAT SUCHANA FOR STATE SERVICE (PRELIMS) EXAM-2024 (11-03-2025),/assets/pdf/NOTIFICATIONS/Caveat_Suchana_SSPE_2024_12032025.pdf,1
1.74113E+12,202404,EXAM SCHEDULE - CIVIL JUDGE (JUNIOR DIVISION) PRELIMS EXAM-2024 (05-03-2025),/assets/pdf/NOTIFICATIONS/Exam_Sch_CJJD_PRELIMS_2024_05032025.pdf,1
1.74105E+12,202401,EXAM SCHEDULE - BOILER INSPECTOR EXAM -2024 (04-03-2025),/assets/pdf/NOTIFICATIONS/Exam_Sch_BI_2024_04032025.pdf,1
1.73975E+12,202107,"NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PROFESSOR- 2021 [03 SUBJECTS-ENGLISH, HISTORY & ANTHROPOLOGY] ",https://psc.cg.gov.in/pdf/NOTIFICATIONS/NOTI_DV_PRF_2021_17022025.pdf,1
1.73975E+12,202107, VACHAN PATRA & APPENDIX-A (17-02-2025),https://psc.cg.gov.in/pdf/NOTIFICATIONS/DV_PRF_2021_VACHANPATRA_APPENDIX-A_17022025.pdf,1
1.73975E+12,202107,DOCUMENT VERIFICATION SCHEDULE PROFESSOR- 2021 ,https://psc.cg.gov.in/pdf/NOTIFICATIONS/DV_SCH_PRF_2021_17022025.pdf,1
1.73975E+12,202107, DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA,https://psc.cg.gov.in/pdf/NOTIFICATIONS/DV_CL_PRF_2021_17022025.pdf,1
1.73828E+12,202403,NOTIFICATION ABOUT ONLINE ADMIT CARD OF STATE SERVICE (PRELIMS) EXAM-2024 (31-01-2025),https://psc.cg.gov.in/pdf/NOTIFICATIONS/Noti_SSPE_2024_AC_31012025.pdf,1
1.73681E+12,202403,NOTIFICATION FOR SCRIBE IN STATE SERVICE (PRELIMS) EXAM-2024 (14-01-2025),https://psc.cg.gov.in/pdf/NOTIFICATIONS/NOTI_SSPE_2024_SCRIBE_14012025.pdf,1
1.73647E+12,202403,NOTIFICATION ABOUT ADMIT CARD OF STATE SERVICE (PRELIMS) EXAM-2024 (10-01-2025),https://psc.cg.gov.in/pdf/NOTIFICATIONS/NOTI_AC_SSPE_2024_10012025.pdf,1
,,,,1
