item_code,advt_no,details,link
1999,,NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PROFESSOR- 2021 [VACHAN PATRA & APPENDIX-A] (07-12-2024),/assets/pdf/Notifications/Noti_DV_PRF_2021_VACHANPATRA_APPENDIX-A_07122024.pdf
1998,,NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PROFESSOR- 2021 [13 SUBJECTS] (04-12-2024) ,/assets/pdf/Notifications/NOTI_DV_PRF_2021_04122024.pdf
1997,,DOCUMENT VERIFICATION SCHEDULE PROFESSOR- 2021 ,/assets/pdf/Notifications/DV_SCH_PRF_2021_04122024.pdf
1996,,DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_CL_PRF_2021_04122024.pdf
1995,,NOTIFICATION REGARDING DOCUMENT VERIFICATION & INTERVIEW OF PARIVAHAN UP NIRIKSHAK (TECH.)-2023 (03-12-2024) ,/assets/pdf/Notifications/NOTI_DV_INTV_TSI_2023_03122024.pdf
1994,,DOCUMENT VERIFICATION & INTERVIEW SCHEDULE OF PARIVAHAN UP NIRIKSHAK (TECH.)-2023 ,/assets/pdf/Notifications/DV_INTV_SCH_TSI_2023_03122024.pdf
1993,, DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_TSI_2023_03122024.pdf
1992,,POSTPONEMENT OF DOCUMENT VERIFICATION OF PROFESSOR- 2021 (03-12-2024) ,/assets/pdf/Notifications/Noti_DV_Postponement_PRF2021_03122024.pdf
1991,,NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PROFESSOR- 2021 (25-11-2024) ,/assets/pdf/Notifications/NOTI_DV_PRF_2021_25112024.pdf
1990,,DOCUMENT VERIFICATION SCHEDULE PROFESSOR- 2021 ,/assets/pdf/Notifications/DV_SCH_PRF_2021_25112024.pdf
1989,,DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_CL_PRF_2021_25112024.pdf
1988,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF CIVIL JUDGE EXAM- 2023 (14-11-2024) ,/assets/pdf/Notifications/NOTI_INTV_DV_CJ_2023_14112024.pdf
1987,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -CIVIL JUDGE EXAM- 2023,/assets/pdf/Notifications/DV_INTV_SCH_CJ_2023_14112024.pdf
1986,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_CJ_2023_14112024.pdf
1985,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF STATE SERVICE EXAM- 2023 (05-11-2024) ,/assets/pdf/Notifications/NOTI_INTV_DV_SSE_2023_05112024.pdf
1984,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -STATE SERVICE EXAM- 2023 ,/assets/pdf/Notifications/DV_INTV_SCH_SSE_2023_05112024.pdf
1983,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_SSE_2023_05112024.pdf
1982,,"CAVEAT SUCHANA FOR SUBEDAR, SUB INSPECTOR CADRE & PLATOON COMMANDER RECRUITMENT-2024 (04-11-2024) ",/assets/pdf/Notifications/Caveat_Suchana_SI_PC_SR_2024_04112024.pdf
1981,,POSTPONEMENT OF DOCUMENT VERIFICATION AND INTERVIEW OF STATE SERVICE EXAM-2023 (14-10-2024) ,/assets/pdf/Notifications/Noti_Postponement_Intv_SSE_2023_14102024.pdf
1980,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF STATE SERVICE EXAM- 2023 (01-10-2024),/assets/pdf/Notifications/NOTI_INTV_DV_SSE_2023_01102024.pdf
1979,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -STATE SERVICE EXAM- 2023 ,/assets/pdf/Notifications/DV_INTV_SCH_SSE_2023_01102024.pdf
1978,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_SSE_2023_01102024.pdf
1977,,PRESS NOTIFICATION- PARIVAHAN UP NIRIKSHAK (TECH.) EXAM-2023 (01-09-2024),/assets/pdf/Notifications/Press_Notification_01092024.pdf
1976,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW SCHEDULE OF LECTURER (METALLURGY) EXAM-2015 (30-08-2024),/assets/pdf/Notifications/NOTI_INTV_DV_LECT_2015_30082024.pdf
1975,,DOCUMENT VERIFICATION AND INTERVIEW SCHEDULE OF LECTURER (METALLURGY) EXAM-2015 PROFORMA ,/assets/pdf/Notifications/INTV_DV_SCH_LECT_2015_30082024.pdf
1974,,DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/INTV_DV_CL_LECT_2015_30082024.pdf
1973,,NOTIFICATION ABOUT ONLINE ADMIT CARD OF PARIVAHAN UP NIRIKSHAK (TECH.)-2023 (23-08-2024),/assets/pdf/Notifications/NOTI_ABOUT_AC_TSI_2023_23082024.pdf
1972,,NOTIFICATION ABOUT ONLINE ADMIT CARD OF CIVIL JUDGE (MAINS) EXAM-2023 (16-08-2024),/assets/pdf/Notifications/NOTI_ABOUT_AC_CJME_2023_16082024.pdf
1971,,NOTIFICATION FOR SCRIBE IN CIVIL JUDGE (MAINS) EXAM-2023 (24-07-2024),/assets/pdf/Notifications/NOTI_CJM_2023_SCRIBE_24072024.pdf
1970,,IMPORTANT NOTIFICATION - CIVIL JUDGE (MAINS) EXAM-2023 (10-07-2024),/assets/pdf/Notifications/IMPNoti_CJME_2023_10072024.pdf
1969,,NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF CIVIL JUDGE (MAINS) EXAM-2023 (01-07-2024),/assets/pdf/Notifications/REOPEN_OA_CJME_2023_01072024.pdf
1968,,SHORT TENDER NOTICE FOR PURCHASE OF STATIONERY MATERIAL-2024-25 (21-06-2024) ,/assets/pdf/Notifications/Short_Tender_Notice_Stationary_21062024.pdf
1967,,EXAM SCHEDULE - CIVIL JUDGE (MAINS) EXAMINATION -2023 (19-06-2024) ,/assets/pdf/Notifications/Exam_Sch_CJM_2023_19062024.pdf
1966,,EXAM SCHEDULE - PARIVAHAN UP NIRIKSHAK (TECH.)-2023 (19-06-2024) ,/assets/pdf/Notifications/Exam_Sch_TSI_Tech_2023_19062024.pdf
1965,,LIST OF DEBARRED CANDIDATES BY UPSC AND VARIOUS STATE PSC (18-06-2024),/assets/pdf/Notifications/List_Debarred_Candidates_18062024.pdf
1964,,NOTIFICATION ABOUT ONLINE ADMIT CARD STATE SERVICE (MAINS) EXAM-2023 (14-06-2024),/assets/pdf/Notifications/Noti_About_AC_SSME_2023_14062024.pdf
1963,,NOTIFICATION FOR CIVIL JUDGE (MAINS) EXAM-2023 (12-06-2024),/assets/pdf/Notifications/NOTI_CJME_2023_12062024.pdf
1962,,SUCHANA-STATE SERVICE (MAINS) EXAM-2023 (10-06-2024),/assets/pdf/Notifications/Suchana_SSME_2023_10062024.pdf
1961,,NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2023 (06-05-2024),/assets/pdf/Notifications/NOTI_SSME_2023_OA_EXTEND_06052024.pdf
1960,,NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PEON (CHHATTISGARH PUBLIC SERVICE COMMISSION) EXAM- 2022 (22-04-2024),/assets/pdf/Notifications/Noti_DV_Peon_CGPSC_2022_22042024.pdf
1959,,DOCUMENT VERIFICATION SCHEDULE -PEON (CHHATTISGARH PUBLIC SERVICE COMMISSION) EXAM- 2022  REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_Schedule_Peon_CGPSC_2022_22042024.pdf
1958,,DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_CL_Peon_CGPSC_2022_22042024.pdf
1957,,LIST OF DEBARRED CANDIDATES BY UPSC AND VARIOUS STATE PSC (15-04-2024),/assets/pdf/Notifications/List_Debarred_Candidates_15042024.pdf
1956,,NOTIFICATION FOR SCRIBE IN STATE SERVICE (MAINS) EXAM-2023 (12-04-2024),/assets/pdf/Notifications/NOTI_SCRIBE_SSME_2023_12042024.pdf
1955,,EXAM SCHEDULE - STATE SERVICE (MAINS) EXAM-2023 (04-04-2024),/assets/pdf/Notifications/Exam_Schedule_SSME_2023_04042024.pdf
1954,,NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PEON (CHHATTISGARH PUBLIC SERVICE COMMISSION) EXAM- 2022 (04-04-2024),/assets/pdf/Notifications/Noti_DV_Peon_CGPSC_2022_04042024.pdf
1953,,DOCUMENT VERIFICATION SCHEDULE -PEON (CHHATTISGARH PUBLIC SERVICE COMMISSION) EXAM- 2022,/assets/pdf/Notifications/DV_Schedule_Peon_CGPSC_2022_04042024.pdf
1952,,DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_CL_Peon_CGPSC_2022_04042024.pdf
1951,,NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2023 (01-04-2024),/assets/pdf/Notifications/Noti_SSME_2023_01042024.pdf
1950,,LIST OF DEBARRED CANDIDATES BY UPSC AND VARIOUS STATE PSC (22-03-2024),/assets/pdf/Notifications/List_Debarred_Candidates_22032024.pdf
1949,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF VETERINARY ASSISTANT SURGEON- 2023 (05-03-2024),/assets/pdf/Notifications/NOTI_INTV_DV_SCH_VAS_2023_05032024.pdf
1948,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -VETERINARY ASSISTANT SURGEON- 2023,/assets/pdf/Notifications/INTV_DV_SCH_VAS_2023_05032024.pdf
1947,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/INTV_DV_CL_VAS_2023_05032024.pdf
1946,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF STATE ENGINEERING SERVICE EXAM- 2021 (04-03-2024),/assets/pdf/Notifications/NOTI_INTV_DV_SES_2021_040320224.pdf
1945,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -STATE ENGINEERING SERVICE EXAM- 2021 ,/assets/pdf/Notifications/INTV_DV_SCH_SES_2021_04032024.pdf
1944,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/INTV_DV_CL_SES_2021_04032024.pdf
1943,,NOTIFICATION-REGARDING UPCOMING RESULTS (01-03-2024),/assets/pdf/Notifications/Noti_Exam_Results_01032024.pdf
1942,,LIST OF DEBARRED CANDIDATES BY UPSC AND VARIOUS STATE PSC (27-02-2024),/assets/pdf/Notifications/List_Debarred_Candidates_27022024.pdf
1941,,NOTIFICATION- REGARDING ONLINE OBJECTION AND AMENDED MODEL ANSWER OF STATE SERVICE (PRELIMS) EXAM-2023 (23-02-2024),/assets/pdf/Notifications/Noti_MASSPE_20223_23022024.pdf
1940,,NOTIFICATION-MODEL ANSWER OF STATE SERVICE (PRELIMS) EXAM-2023 (19-02-2024),/assets/pdf/Notifications/Noti_MASSPE_20223_19022024.pdf
1939,,NOTIFICATION-REGARDING FULL ADDRESS OF EXAM CENTER (CENTER CODE 0804) - STATE SERVICE (PRELIMS) EXAM-2023 (02-02-2024),/assets/pdf/Notifications/Noti_SSPE_20223_0804_02022024.pdf
1938,,NOTIFICATION ABOUT ADMIT CARD IN STATE SERVICE (PRELIMS) EXAM-2023 (31-01-2024),/assets/pdf/Notifications/Noti_AC_SSPE_2023_31012024.pdf
1937,,NOTIFICATION - ANNUAL EXAM CALENDER AND REFORM INITIATIVES RELATED (30-01-2024),/assets/pdf/Notifications/Press_Notification_30012024.pdf
1936,,"NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF ASSISTANT DIRECTOR, AGRICULTURE EXAM- 2023 (24-01-2024)",/assets/pdf/Notifications/NOTI_INTV_DV_ADA_2023_24012024.pdf
1935,,"INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -ASSISTANT DIRECTOR, AGRICULTURE EXAM- 2023 ",/assets/pdf/Notifications/INTV_DV_SCH_ADA_2023_24012024.pdf
1934,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/INTV_DV_CL_ADA_2023_24012024.pdf
1933,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF DISTRICT AYURVEDA OFFICER EXAM- 2023 (24-01-2024),/assets/pdf/Notifications/NOTI_INTV_DV_DAO_2023_24012024.pdf
1932,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -DISTRICT AYURVEDA OFFICER EXAM- 2023,/assets/pdf/Notifications/INTV_DV_SCH_DAO_2023_24012024.pdf
1931,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/INTV_DV_CL_DAO_2023_24012024.pdf
1930,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF ASSISTANT DIRECTOR (TECHNICAL) EXAM- 2023 (24-01-2024),/assets/pdf/Notifications/NOTI_INTV_DV_ADT_2023_24012024.pdf
1929,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -ASSISTANT DIRECTOR (TECHNICAL) EXAM- 2023 ,/assets/pdf/Notifications/INTV_DV_SCH_ADT_2023_24012024.pdf
1928,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/INTV_DV_CL_ADT_2023_24012024.pdf
1927,,NOTIFICATION FOR SCRIBE IN STATE SERVICE (PRELIMS) EXAM-2023 (18-01-2024),/assets/pdf/Notifications/NOTI_SCRIBE_SSPE_2023_18012024.pdf
1926,,NOTIFICATION ABOUT ADMIT CARD IN STATE SERVICE (PRELIMS) EXAM-2023 (18-01-2024),/assets/pdf/Notifications/NOTI_AC_SSPE_2023_18012024.pdf
1925,,KHANDAN (RTI RELATED)- CIVIL JUDGE EXAM-2022 (28-12-2023),/assets/pdf/Notifications/KHANDAN_28122023.pdf
1924,,LIST OF DEBARRED CANDIDATES BY UPSC AND VARIOUS STATE PSC (28-12-2023),/assets/pdf/Notifications/List_Debarred_Candidates_28122023.pdf
1923,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 (22-12-2023),/assets/pdf/Notifications/NOTI_DV_INTV_SCH_CJ_2022_22122023.pdf
1922,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022,/assets/pdf/Notifications/DV_INTV_SCH_CJ_2022_22122023.pdf
1921,,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_CJ_2022_22122023.pdf
1920,,POSTPONEMENT OF INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM-2022 (01-12-2023),/assets/pdf/Notifications/Noti_Postponement_Intv_CJ_2022_01122023.pdf
1919,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 (20-11-2023),/assets/pdf/Notifications/NOTI_DV_INTV_SCH_CJ_2022_20112023.pdf
1918,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 ,/assets/pdf/Notifications/DV_INTV_SCH_CJ_2022_20112023.pdf
1917,, DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_CJ_2022_20112023.pdf
1916,,KHANDAN- ASSISTANT PROFESSOR EXAM-2019 (COMMERCE) (11-10-2023),/assets/pdf/Notifications/KHANDAN_11102023.pdf
1915,,NOTIFICATION REGARDING STATE SERVICE (MAINS) EXAM-2022 (08-10-2023),/assets/pdf/Notifications/NOTI_SSME_2022_08102023.pdf
1914,,NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (MAINS) EXAM-2022 (15-09-2023),/assets/pdf/Notifications/NOTI_SSME_2022_15092023.pdf
1913,,NOTIFICATION ABOUT ONLINE ADMIT CARD OF CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (29-08-2023),/assets/pdf/Notifications/NOTI_AC_CJP_2023_29082023.pdf
1912,,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF STATE SERVICE EXAM- 2022 (16-08-2023),/assets/pdf/Notifications/NOTI_DV_INTV_SSE_2022_16082023.pdf
1911,,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -STATE SERVICE EXAM- 2022 ,/assets/pdf/Notifications/DV_INTV_SCH_SSE_2022_16082023.pdf
1910,, DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_SSE_2022_16082023.pdf
1909,,"AMENDED NOTIFICATION ABOUT ONLINE ADMIT CARD OF ASSISTANT DIRECTOR, AGRICULTURE EXAM-2023 (18-08-2023)",/assets/pdf/Notifications/AMEND_NOTI_ABOUT_AC_ADA_2023_18082023.pdf
1908,,"NOTIFICATION ABOUT ONLINE ADMIT CARD OF ASSISTANT DIRECTOR, TECHNICAL & DISTRICT AYURVEDA OFFICER EXAM-2023 (16-08-2023)",/assets/pdf/Notifications/NOTI_ABOUT_AC_ADT_DAO_2023_16082023.pdf
1907,,NOTIFICATION FOR SCRIBE IN CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (16-08-2023),/assets/pdf/Notifications/NOTI_CJP_2023_SCRIBE_16082023.pdf
