item_code,advt_no,details,link
1733529600000,202107,NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PROFESSOR- 2021 [VACHAN PATRA & APPENDIX-A] (07-12-2024),/assets/pdf/Notifications/Noti_DV_PRF_2021_VACHANPATRA_APPENDIX-A_07122024.pdf
1733270400000,202107,NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PROFESSOR- 2021 [13 SUBJECTS] (04-12-2024) ,/assets/pdf/Notifications/NOTI_DV_PRF_2021_04122024.pdf
1733270400000,202107,DOCUMENT VERIFICATION SCHEDULE PROFESSOR- 2021 ,/assets/pdf/Notifications/DV_SCH_PRF_2021_04122024.pdf
1733270400000,202107,DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_CL_PRF_2021_04122024.pdf
1733184000000,202309,NOTIFICATION REGARDING DOCUMENT VERIFICATION & INTERVIEW OF PARIVAHAN UP NIRIKSHAK (TECH.)-2023 (03-12-2024) ,/assets/pdf/Notifications/NOTI_DV_INTV_TSI_2023_03122024.pdf
1733184000000,202309,DOCUMENT VERIFICATION & INTERVIEW SCHEDULE OF PARIVAHAN UP NIRIKSHAK (TECH.)-2023 ,/assets/pdf/Notifications/DV_INTV_SCH_TSI_2023_03122024.pdf
1733184000000,202309, DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_TSI_2023_03122024.pdf
1733184000000,202107,POSTPONEMENT OF DOCUMENT VERIFICATION OF PROFESSOR- 2021 (03-12-2024) ,/assets/pdf/Notifications/Noti_DV_Postponement_PRF2021_03122024.pdf
1732492800000,202107,NOTIFICATION REGARDING DOCUMENT VERIFICATION OF PROFESSOR- 2021 (25-11-2024) ,/assets/pdf/Notifications/NOTI_DV_PRF_2021_25112024.pdf
1732492800000,202107,DOCUMENT VERIFICATION SCHEDULE PROFESSOR- 2021 ,/assets/pdf/Notifications/DV_SCH_PRF_2021_25112024.pdf
1732492800000,202107,DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_CL_PRF_2021_25112024.pdf
1731542400000,202308,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF CIVIL JUDGE EXAM- 2023 (14-11-2024) ,/assets/pdf/Notifications/NOTI_INTV_DV_CJ_2023_14112024.pdf
1731542400000,202308,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -CIVIL JUDGE EXAM- 2023,/assets/pdf/Notifications/DV_INTV_SCH_CJ_2023_14112024.pdf
1731542400000,202308,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_CJ_2023_14112024.pdf
1730764800000,202311,NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF STATE SERVICE EXAM- 2023 (05-11-2024) ,/assets/pdf/Notifications/NOTI_INTV_DV_SSE_2023_05112024.pdf
1730764800000,202311,INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -STATE SERVICE EXAM- 2023 ,/assets/pdf/Notifications/DV_INTV_SCH_SSE_2023_05112024.pdf
1730764800000,202311,DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,/assets/pdf/Notifications/DV_INTV_CL_SSE_2023_05112024.pdf
1730678400000,202402,"CAVEAT SUCHANA FOR SUBEDAR, SUB INSPECTOR CADRE & PLATOON COMMANDER RECRUITMENT-2024 (04-11-2024) ",/assets/pdf/Notifications/Caveat_Suchana_SI_PC_SR_2024_04112024.pdf
