item_code,advt_no,details,link
1483142400000,201606,SELECTION LIST STATE ENGINEERING SERVICE EXAM-2016-CIVIL,/assets/pdf/Result/SL_SES2016_C.pdf
1483142400000,201606,SELECTION-LIST-STATE-ENGINEERING-SERVICE-EXAM-2016-ELECTRICAL/MECHANICAL ,/assets/pdf/Result/SL_SES2016_EM.pdf
1483142400000,201606,"SELECTION LIST STATE ENGINEERING SERVICE EXAM-2016 -ELECTRICAL,MECHANICAL,AGRICULTRE",/assets/pdf/Result/SL_SES2016_EMAG.pdf
1483228800000,201606,STATEMENT OF MARKS IN FINAL SELECTION-CIVIL,/assets/pdf/Result/SES2016/ML_SES2016_CIVIL.pdf
1483228800000,201606,STATEMENT OF MARKS IN FINAL SELECTION-ELCTRICAL_MECHANICAL ,/assets/pdf/Result/SES2016/ML_SES2016_ELECTRICAL_MECHANICAL.pdf
1483228800000,201606,STATEMENT OF MARKS IN FINAL SELECTION-ELCTRICAL ,/assets/pdf/Result/SES2016/ML_SES2016_ELECTRICAL.pdf
1483228800000,201606,STATEMENT OF MARKS IN FINAL SELECTION-MECHANICAL ,/assets/pdf/Result/SES2016/ML_SES2016_MECHANICAL.pdf
1483228800000,201606,STATEMENT OF MARKS IN STATEMENT OF MARKS IN FINAL SELECTION-AGRICULTURE,/assets/pdf/Result/SES2016/ML_SES2016_AGRICULTURE.pdf
1483228800000,201606, ABSENT/NOT ELIGIBLE CANDIDATES IN INTERVIEW- ELECTRICAL_MECHANICAL ,/assets/pdf/Result/SES2016/NE_SES2016_ELECTRICAL_MECHANICAL.pdf
1483228800000,201606, ABSENT/NOT ELIGIBLE CANDIDATES IN INTERVIEW- ELECTRICAL,/assets/pdf/Result/SES2016/NE_SES2016_ELECTRICAL.pdf
1483228800000,201606,ABSENT/NOT ELIGIBLE CANDIDATES IN INTERVIEW- MECHANICAL,/assets/pdf/Result/SES2016/NE_SES2016_MECHANICAL.pdf
1483228800000,201606,STATEMENT OF MARKS IN WRITTEN EXAM-AGRICULTURE ,/assets/pdf/Result/SES2016/WM_SES2016_AGRI.pdf
1483228800000,201606,STATEMENT OF MARKS IN WRITTEN EXAM-CIVIL ,/assets/pdf/Result/SES2016/WM_SES2016_CIVIL.pdf
1483228800000,201606,STATEMENT OF MARKS IN WRITTEN EXAM-ELECTRICAL-MECHANICAL ,/assets/pdf/Result/SES2016/WM_SES2016_EM.pdf
1483228800000,201606,STATEMENT OF MARKS IN WRITTEN EXAM-ELECTRICAL,/assets/pdf/Result/SES2016/WM_SES2016_ELEC.pdf
1483228800000,201606,STATEMENT OF MARKS IN WRITTEN EXAM-MECHANICAL,/assets/pdf/Result/SES2016/WM_SES2016_MECH.pdf
1482537600000,201405,"SELECTION LIST- CLINICAL PSYCHOLOGIST, CHILD PSYCHOLOGIST , PTI/ SPORT OFFICER , SCIENTIFIC OFFICER TOXICOLOGY, SPEECH PATHOLOGIST/ AUDOLOGIST GRADE-01 , SPEECH PATHOLOGIST /AUDIOLOGIST GRADE-2 AND SPEECH THERAPIST EXAM-2014",/assets/pdf/Result/SL_HFW05_2.pdf
1482710400000,201405,STATEMENT OF MARKS IN FINAL SELECTION-SCIENTIFIC OFFICER TOXICOLOGY,/assets/pdf/Result/05_2014/ML/ML_SOT.pdf
1482710400000,201405,STATEMENT OF MARKS IN FINAL SELECTION-SPEECH THERAPIST,/assets/pdf/Result/05_2014/ML/ML_ST.pdf
1482710400000,201405,STATEMENT OF MARKS IN FINAL SELECTION-SPEECH PATHOLOGIST/ AUDOLOGIST GRADE-01 ,/assets/pdf/Result/05_2014/ML/ML_SPA_G1.pdf
1482710400000,201405,STATEMENT OF MARKS IN FINAL SELECTION-SPEECH PATHOLOGIST/ AUDOLOGIST GRADE-02 ,/assets/pdf/Result/05_2014/ML/ML_SPA_G2.pdf
1482710400000,201405,STATEMENT OF MARKS IN FINAL SELECTION-CHILD PSYCHOLOGIST,/assets/pdf/Result/05_2014/ML/ML_CHILDP.pdf
1482710400000,201405,STATEMENT OF MARKS IN FINAL SELECTION-CLINICAL PSYCHOLOGIST ,/assets/pdf/Result/05_2014/ML/ML_CP.pdf
1482710400000,201405,STATEMENT OF MARKS IN FINAL SELECTION-PTI,/assets/pdf/Result/05_2014/ML/ML_PTI.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (ELIGIBLE)-SCIENTIFIC OFFICER TOXICOLOGY,/assets/pdf/Result/05_2014/WM_SOT.pdf
1482710400000,201405, STATEMENT OF MARKS IN WRITTEN EXAM (NOT ELIGIBLE)-SCIENTIFIC OFFICER TOXICOLOGY ,/assets/pdf/Result/05_2014/FAIL_SOT.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (ELIGIBLE)-SPEECH THERAPIST,/assets/pdf/Result/05_2014/WM_ST.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (NOT ELIGIBLE)-SPEECH THERAPIST ,/assets/pdf/Result/05_2014/FAIL_ST.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (ELIGIBLE)-SPEECH PATHOLOGIST/ AUDOLOGIST GRADE-01,/assets/pdf/Result/05_2014/WM_SPA_G1.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (NOT ELIGIBLE)-SPEECH PATHOLOGIST/ AUDOLOGIST GRADE-01 ,/assets/pdf/Result/05_2014/FAIL_SPA_G1.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (ELIGIBLE)-SPEECH PATHOLOGIST/ AUDOLOGIST GRADE-02,/assets/pdf/Result/05_2014/WM_SPA_G2.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (NOT ELIGIBLE)-SPEECH PATHOLOGIST/ AUDOLOGIST GRADE-02 ,/assets/pdf/Result/05_2014/FAIL_SPA_G2.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (ELIGIBLE)-CHILD PSYCHOLOGIST,/assets/pdf/Result/05_2014/WM_CHILDP.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (NOT ELIGIBLE)-CHILD PSYCHOLOGIST ,/assets/pdf/Result/05_2014/FAIL_CHILDP.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (ELIGIBLE)-CLINICAL PSYCHOLOGIST,/assets/pdf/Result/05_2014/WM_CP.pdf
1482710400000,201405, STATEMENT OF MARKS IN WRITTEN EXAM (NOT ELIGIBLE)-CLINICAL PSYCHOLOGIST ,/assets/pdf/Result/05_2014/FAIL_CP.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (ELIGIBLE)-PTI,/assets/pdf/Result/05_2014/WM_PTI.pdf
1482710400000,201405,STATEMENT OF MARKS IN WRITTEN EXAM (NOT ELIGIBLE)-PTI,/assets/pdf/Result/05_2014/FAIL_PTI.pdf
1482451200000,201508,WRITTEN EXAM RESULT-STATE SERVICE (MAINS) EXAM-2015,/assets/pdf/Result/WER_SSME2015.pdf
1482451200000,201409,"SELECTION LIST-DEMONSTRATOR, NURSING COLLEGE EXAM-2014",/assets/pdf/Result/SL_DEM_NURSING_2014.pdf
1482192000000,201510,SELECTION LIST-DENTAL SURGEON EXAM-2015 ,/assets/pdf/Result/SL_DSS2015.pdf
1482278400000,201510,STATEMENT OF MARKS IN FINAL SELECTION ,/assets/pdf/Result/ML_DSS2015.pdf
1482278400000,201510,STATEMENT OF MARKS IN WRITTEN EXAM (ELIGIBLE CANDIDATES) ,/assets/pdf/Result/WM_DSS2015.pdf
1482278400000,201510,STATEMENT OF MARKS IN WRITTEN EXAM (NOT ELIGIBLE CANDIDATES),/assets/pdf/Result/NE_DSS2015.pdf
1481760000000,201606,WRITTEN EXAM RESULT-STATE ENGINEERING SERVICE EXAM-2016,/assets/pdf/Result/WER_SES2016.pdf
1481068800000,201605,SELECTION LIST- MINING INSPECTOR (BACKLOG) EXAM-2016,/assets/pdf/Result/SL_MIBACKLOG-2016.pdf
1481068800000,201409,"SELECTION LIST- VARIOUS POSTS ADVERTISED FOR HFW DEPT(Advt. No.09/2014/Exam, Date-25/07/2014) (Interview Date- 14-03-2016 To- 02-04-2016)",/assets/pdf/Result/SL_BCDEFG_2014.pdf
1480896000000,201405,"WRITTEN EXAM RESULT- CLINICAL PSYCHOLOGIST, CHILD PSYCHOLOGIST , PTI/ SPORT OFFICER , SCIENTIFIC OFFICER TOXICOLOGY, SPEECH PATHOLOGIST/ AUDOLOGIST GRADE-01 , SPEECH PATHOLOGIST /AUDIOLOGIST GRADE-2 AND SPEECH THERAPIST EXAM-2014",/assets/pdf/Result/WER_HFW_05_7POST.pdf
1480896000000,201409,WRITTEN EXAM RESULT-DEMONSTRATOR (NURSING COLLEGE) EXAM-2014,/assets/pdf/Result/WER_DEMO_NURSING_2014.pdf
1480550400000,201510,WRITTEN EXAM RESULT-DENTAL SURGEON EXAM-2015,/assets/pdf/Result/WER_DSS2015.pdf
1480118400000,201603,SELECTION LIST-CG FOREST SERVICE (COMBINED) EXAM-2016,/assets/pdf/Result/SL_CGFSE2016.pdf
1480204800000,201603,STATEMENT OF MARKS IN FINAL SELECTION ,/assets/pdf/Result/CGForest/ML_CGFSE2016.pdf
1480204800000,201603,ABSENT/NOT ELIGIBLE CANDIDATES IN INTERVIEW ,/assets/pdf/Result/CGForest/NE_CGFSE2016.pdf
1480204800000,201603,STATEMENT OF MARKS IN WRITTEN EXAM,/assets/pdf/Result/CGForest/WM_CGFSE2016.pdf
1479168000000,201513,SELECTION LIST- ASSISTANT PROFESSOR (ENGINEERING COLLEGE) (CHEMISTRY)-2015 ,/assets/pdf/Result/DTE2_2015/SL_AP_DTE3_2015.pdf
1479168000000,201513,LECTURER (POLYTECHNIC) (CHEMISTRY),/assets/pdf/Result/DTE2_2015/SL_LE_DTE3_2015.pdf
1479168000000,201513,ASSISTANT WORKSHOP SUPERINTENDENT-2015 ,/assets/pdf/Result/DTE2_2015/SL_AWS_DTE3_2015.pdf
1479254400000,201513,STATEMENT OF MARKS IN FINAL SELECTION-ASSISTANT WORKSHOP SUPERINTENDENT-2015 ,/assets/pdf/Result/DTE2_2015/ML_AWS_DTE3_2015.pdf
1479340800000,201513,STATEMENT OF MARKS IN WRITTEN EXAM-ASSISTANT WORKSHOP SUPERINTENDENT-2015,/assets/pdf/Result/DTE2_2015/WM-DTE2015-AWS.pdf
