item_code,advt_no,details,link,published
1.73258E+12,202403,ADVERTISEMENT FOR STATE SERVICE EXAMINATION-2024 (26-11-2024),/assets/pdf/Advertisement/ADVT_SSE2024_26112024.pdf,1
1.72947E+12,202402,"ADVERTISEMENT FOR SUBEDAR, SUB INSPECTOR CADRE & PLATOON COMMANDER RECRUITMENT - 2024 (21-10-2024)",/assets/pdf/Advertisement/ADV_SI_PC_SUBE_2024_21102024.pdf,1
1.73379E+12,202402,CORRIGENDUM (10-12-2024),/assets/pdf/Advertisement/Corrigendum-SRSIPC2024_10122024.pdf,1
1.72912E+12,202401,ADVERTISEMENT FOR BOILER INSPECTOR-2024 (17-10-2024),/assets/pdf/Advertisement/ADV_BI_2024_17102024.pdf,1
1.70096E+12,202311,ADVERTISEMENT FOR STATE SERVICE EXAMINATION-2023 (26-11-2023),/assets/pdf/Advertisement/ADVT_SSE2023_26112023.pdf,1
1.70605E+12,202311,CORRIGENDUM (24-01-2024),/assets/pdf/Advertisement/Corrigendum-SSE2023_24012024.pdf,1
1.71677E+12,202311,CORRIGENDUM (27-05-2024),/assets/pdf/Advertisement/Corrigendum_SSE2023_27052024.pdf,1
1.69344E+12,202310,ADVERTISEMENT FOR VETERINARY ASSISTANT SURGEON-2023 (31-08-2023),/assets/pdf/Advertisement/ADV_VAS_2023_31082023.pdf,1
1.69232E+12,202309,ADVERTISEMENT FOR PARIVAHAN UP NIRIKSHAK (TECH.) - 2023  (18-08-2023),/assets/pdf/Advertisement/ADV_TSI_2023_18082023.pdf,1
1.68558E+12,202308,ADVERTISEMENT FOR CIVIL JUDGE (ENTRY LEVEL) EXAM - 2023 (01-06-2023),/assets/pdf/Advertisement/ADV_CJ_2023_01062023.pdf,1
1.68489E+12,202307,ADVERTISEMENT FOR VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (24-05-2023),/assets/pdf/Advertisement/ADV_SANSKRITI_2023_24052023.pdf,1
1.68437E+12,202306,"ADVERTISEMENT FOR ASTT. DIRECTOR, AGRICULTURE - 2023 (18-05-2023) ",/assets/pdf/Advertisement/ADA_ADV_2023_18052023.pdf,1
1.68394E+12,202305,ADVERTISEMENT FOR HOSTEL SUPERINTENDENT GRADE-'D'-2023 (13-05-2023),/assets/pdf/Advertisement/ADV_HSD_2023_13052023.pdf,1
1.68437E+12,202305,CORRIGENDUM (18-05-2023),/assets/pdf/Advertisement/Corrigendum-HSD2023_18052023.pdf,1
1.68454E+12,202305,SUCHANA PATRA (20-05-2023),/assets/pdf/Advertisement/SUCHANA_PATRA_HSD_2023_20052023.pdf,1
1.6835E+12,202304,ADVERTISEMENT FOR LECTURER (MEDICAL EDUCATION (AYUSH) DEPT.) - 2023 (08-05-2023),/assets/pdf/Advertisement/ADV_LECT_2023_08052023.pdf,1
