item_code,advt_no,details,link,published
1.74E+12,202403,WRITTEN EXAM RESULT -STATE SERVICE (PRELIMS) EXAM-2024 (11-03-2025),/assets/pdf/result/WER_SSPE_2024_11032025.pdf,0
1.74E+12,202002,AMENDED SELECTION LIST - CIVIL JUDGE (ENTRY LEVEL) EXAM-2020 (24-01-2025),/assets/pdf/result/ASL_CJEL_2020_24012025.pdf,1
1.73E+12,202309,SELECTION LIST - PARIVAHAN UP NIRIKSHAK (TECH.) EXAM-2023 (17-12-2024),/assets/pdf/result/SL_TSI_2023_17122024.pdf,1
1.73E+12,202308,SELECTION LIST - CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (11-12-2024),/assets/pdf/result/SL_CJ_2023_11122024.pdf,1
1.73E+12,202311,SELECTION LIST - STATE SERVICE EXAMINATION-2023 (29-11-2024) ,/assets/pdf/result/SL_SSE_2023_29112024.pdf,1
1.73E+12,202308,WRITTEN EXAM RESULT -CIVIL JUDGE (MAINS) EXAM-2023 (08-10-2024),/assets/pdf/result/WER_CJME_2023_08102024.pdf,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,`
