item_code,advt_no,details,link,published
1.73E+12,202403,STATE SERVICE EXAMINATION-2024,NULL,1
1.74E+12,202402,"SUBEDAR, SUB INSPECTOR CADRE & PLATOON COMMANDER RECRUITMENT - 2024",NULL,1
1.73E+12,202401,BOILER INSPECTOR-2024,NULL,1
1.74E+12,202311,STATE SERVICE EXAMINATION-2023,NULL,1
1.73E+12,202310,VETERINARY ASSISTANT SURGEON-2023 ,NULL,1
1.73E+12,202309,PARIVAHAN UP NIRIKSHAK (TECH.) - 2023 ,NULL,1
1.73E+12,202308,CIVIL JUDGE (ENTRY LEVEL) EXAM - 2023,NULL,1
1.73E+12,202307,VARIOUS POSTS IN SANSKRITI VIBHAG-2023,NULL,1
1.73E+12,202306,"ASTT. DIRECTOR, AGRICULTURE - 2023 ",NULL,1
1.74E+12,202305,HOSTEL SUPERINTENDENT GRADE-'D'-2023,NULL,1
1.73E+12,202304,LECTURER (MEDICAL EDUCATION (AYUSH) DEPT.) - 2023,NULL,1
1.73E+12,202303,"ASSISTANT DIRECTOR, TECHNICAL-2023",NULL,1
1.73E+12,202302,DISTRICT AYURVED OFFICER-2023,NULL,1
1.74E+12,202301,"READER, MEDICAL EDUCATION (AYUSH) DEPT. - 2023 ",NULL,1
1.74E+12,202229,CIVIL JUDGE (ENTRY LEVEL) EXAM -2022,NULL,1
1.74E+12,202228,STATE SERVICE EXAMINATION-2022,NULL,1
1.74E+12,202227,LECTURER (MEDICAL EDUCATION (AYUSH) DEPT.)-2022 ,NULL,1
1.73E+12,202226,AYURVEDA MEDICAL OFFICER-2022 ,NULL,1
1.74E+12,202225,PEON (CHHATTISGARH PUBLIC SERVICE COMMISSION)-2022,NULL,1
1.74E+12,202224,PEON (GENERAL ADMINISTRATION DEPT.)-2022 ,NULL,1
1.74E+12,202223,CASUALTY MEDICAL OFFICER AND GENERAL DUTY MEDICAL OFFICER-2022,NULL,1
1.74E+12,202222,PHYSIOTHERAPIST-2022,NULL,1
1.73E+12,202221,VETERINARY ASSISTANT SURGEON-2022,NULL,1
1.73E+12,202220, FIRE OFFICER TECHNICAL OFFICER-2022 ,NULL,1
1.73E+12,202219,BOILER INSPECTOR-2022,NULL,1
1.73E+12,202218,SAHAYAK KSHETRIYA PRIVAHAN ADHIKARI & PARIVAHAN UP NIRIKSHAK (TECH.) -2022,NULL,1
1.73E+12,202217,VISHESHGYA CHIKITSAK (AYUSH VING/THERAPY CENTER)-2022,NULL,1
1.74E+12,202216,HOMOEOPATHY MEDICAL OFFICER - 2022,NULL,1
1.73E+12,202215,"ASSISTANT DIRECTOR, INDUSTRIAL HYGIENE-2022",NULL,1
1.73E+12,202214,SCIENTIFIC OFFICER - 2022,NULL,1
1.73E+12,202213,LECTURER TEXTILE DESIGN-2022,NULL,1
1.74E+12,202212,MEDICAL SPECIALIST-2022,NULL,1
1.73E+12,202211,ASSISTANT RESEARCH OFFICER-2022,NULL,1
1.74E+12,202210,ASSISTANT PROFESSOR [DEPT. OF MEDICAL EDUCATION ]-2022,NULL,1
1.74E+12,202209,DENTAL SURGEON - 2022 ,NULL,1
1.73E+12,202208,DEPUTY SUPERINTENDENT OF POLICE (RADIO)-2022,NULL,1
1.74E+12,202207,"MINING OFFICER, ASSISTANT GEOLOGIST & MINING INSPECTOR-2022",NULL,1
1.74E+12,202206,ASSISTANT DIRECTOR (DEPT. OF REVENUE & DISASTER MANAGEMENT) - 2022 ,NULL,1
1.73E+12,202205,LAW OFFICER (CGPSC)-2022,NULL,1
1.74E+12,202204,ASSISTANT REGISTRAR (DEPT. OF COMMERCE AND INDUSTRY)-2022,NULL,1
1.74E+12,202203,"SCIENTIFIC OFFICER, CHEMISTRY - 2022",NULL,1
1.74E+12,202202,"ASSISTANT DIRECTOR (DEPT. OF PLANNING, ECONOMICS & STATISTICS ) - 2022",NULL,1
1.73E+12,202201,UNANI MEDICAL OFFICER - 2022,NULL,1
1.74E+12,202118, PRACHARYA (VERG-1 & VERG-2)-2021,NULL,1
1.73E+12,202117,LAW OFFICER [HOME JAIL DEPT.]-2021,NULL,1
1.74E+12,202116,ASSISTANT DIRECTOR RESHAM-2021 ,NULL,1
1.73E+12,202115,ASSISTANT DIRECTOR HANDLOOM - 2021 ,NULL,1
1.73E+12,202114,DEMONSTRATOR (PHYSIOTHERAPY) & TUTOR-OCCUPATIONAL [MEDICAL EDUCATION DEPT.] - 2021,NULL,1
1.74E+12,202113,DEMONSTRATOR [MEDICAL EDUCATION DEPT.]-2021,NULL,1
1.73E+12,202112,ASSISTANT PROFESSOR & DEMONSTRATOR (NURSING) [MEDICAL EDUCATION DEPT.]-2021,NULL,1
1.74E+12,202111,"JUNIOR RESIDENT, SENIOR REGISTRAR, REGISTRAR [MEDICAL EDUCATION DEPT.]-2021",NULL,1
1.74E+12,202110,SENIOR RESIDENT [MEDICAL EDUCATION DEPT.]-2021 ,NULL,1
1.74E+12,202109,STATE SERVICE EXAMINATION-2021,NULL,1
1.74E+12,202108,MEDICAL SPECIALIST [ DEPT. OF PUBLIC HEALTH & FAMILY WELFARE]-2021 ,NULL,1
1.74E+12,202107,PROFESSOR [HIGHER EDUCATION DEPT.]-2021,NULL,1
1.74E+12,202106,SAHAYAK JILA LOK ABHIYOJAN ADHIKARI-2021,NULL,1
1.74E+12,202105,STATE ENGINEERING SERVICE EXAM-2021,NULL,1
1.74E+12,202104,VETERINARY ASSISTANT SURGEON - 2021,NULL,1
1.73E+12,202103,REGISTRAR (HIGHER EDUCATION DEPT.)-2021,NULL,1
1.73E+12,202102,"ASSISTANT DIRECTOR, JANSAMPARK (HINDI MEDIUM)-2021",NULL,1
1.74E+12,202101,ASSISTANT PROFESSOR (MEDICAL)-2021,NULL,1
1.74E+12,202010,"KUL SACHIV, UP KUL SACHIV & SAHAYAK KUL SACHIV-2020",NULL,1
1.74E+12,202009,STATE SERVICE EXAMINATION-2020,NULL,1
1.73E+12,202008,ASSISTANT DIRECTOR JANSAMPARK (ENGLISH MED.) -2020 ,NULL,1
1.74E+12,202007,CHHATTISGARH FOREST SERVICE (COMBINED) EXAM-2020 ,NULL,1
1.73E+12,202006,"ASTT. DIRECTOR, AGRICULTURE-2020",NULL,1
1.74E+12,202005,INSURANCE MEDICAL OFFICER - 2020,NULL,1
1.74E+12,202004,VETERINARY ASSISTANT SURGEON-2020,NULL,1
1.74E+12,202003,"ASSISTANT GEO-HYDROLOGIST, ASSISTANT GEO-PHYSICS, ASSISTANT GEO-CHEMIST-2020",NULL,1
1.74E+12,202002,CIVIL JUDGE (ENTRY LEVEL) EXAM - 2020,NULL,1
1.73E+12,202001,STATE ENGINEERING SERVICE EXAMINATION-2020,NULL,1
1.73E+12,201907,STATE SERVICE EXAMINATION-2019,NULL,1
1.73E+12,201906,LECTURER (H F W DEPT) - 2019,NULL,1
1.74E+12,201905,LIBRARIAN AND SPORTS OFFICER (HIGHER EDUCATION)-2019,NULL,1
1.73E+12,201904,"ASSISTANT DIRECTOR (DEPT. OF PLANNING, ECONOMICS & STATISTICS )-2019",NULL,1
1.73E+12,201903,CIVIL JUDGE (ENTRY LEVEL) EXAM -2019,NULL,1
1.74E+12,201902,ASSISTANT PROFESSOR [HIGHER EDUCATION DEPT.] - 2019,NULL,1
