item_code,advt_no,details,link,published
1730000000000,202403,STATE SERVICE EXAMINATION-2024,NULL,1
1740000000000,202402,"SUBEDAR, SUB INSPECTOR CADRE & PLATOON COMMANDER RECRUITMENT - 2024",NULL,1
1730000000000,202401,BOILER INSPECTOR-2024,NULL,1
1740000000000,202311,STATE SERVICE EXAMINATION-2023,NULL,1
1730000000000,202310,VETERINARY ASSISTANT SURGEON-2023 ,NULL,1
1730000000000,202309,PARIVAHAN UP NIRIKSHAK (TECH.) - 2023 ,NULL,1
1730000000000,202308,CIVIL JUDGE (ENTRY LEVEL) EXAM - 2023,NULL,1
1730000000000,202307,VARIOUS POSTS IN SANSKRITI VIBHAG-2023,NULL,1
1730000000000,202306,"ASTT. DIRECTOR, AGRICULTURE - 2023 ",NULL,1
1740000000000,202305,HOSTEL SUPERINTENDENT GRADE-'D'-2023,NULL,1
1730000000000,202304,LECTURER (MEDICAL EDUCATION (AYUSH) DEPT.) - 2023,NULL,1
1730000000000,202303,"ASSISTANT DIRECTOR, TECHNICAL-2023",NULL,1
1730000000000,202302,DISTRICT AYURVED OFFICER-2023,NULL,1
1740000000000,202301,"READER, MEDICAL EDUCATION (AYUSH) DEPT. - 2023 ",NULL,1
1740000000000,202229,CIVIL JUDGE (ENTRY LEVEL) EXAM -2022,NULL,1
1740000000000,202228,STATE SERVICE EXAMINATION-2022,NULL,1
1740000000000,202227,LECTURER (MEDICAL EDUCATION (AYUSH) DEPT.)-2022 ,NULL,1
1730000000000,202226,AYURVEDA MEDICAL OFFICER-2022 ,NULL,1
1740000000000,202225,PEON (CHHATTISGARH PUBLIC SERVICE COMMISSION)-2022,NULL,1
1740000000000,202224,PEON (GENERAL ADMINISTRATION DEPT.)-2022 ,NULL,1
1740000000000,202223,CASUALTY MEDICAL OFFICER AND GENERAL DUTY MEDICAL OFFICER-2022,NULL,1
1740000000000,202222,PHYSIOTHERAPIST-2022,NULL,1
1730000000000,202221,VETERINARY ASSISTANT SURGEON-2022,NULL,1
1730000000000,202220, FIRE OFFICER TECHNICAL OFFICER-2022 ,NULL,1
1730000000000,202219,BOILER INSPECTOR-2022,NULL,1
1730000000000,202218,SAHAYAK KSHETRIYA PRIVAHAN ADHIKARI & PARIVAHAN UP NIRIKSHAK (TECH.) -2022,NULL,1
1730000000000,202217,VISHESHGYA CHIKITSAK (AYUSH VING/THERAPY CENTER)-2022,NULL,1
1740000000000,202216,HOMOEOPATHY MEDICAL OFFICER - 2022,NULL,1
1730000000000,202215,"ASSISTANT DIRECTOR, INDUSTRIAL HYGIENE-2022",NULL,1
1730000000000,202214,SCIENTIFIC OFFICER - 2022,NULL,1
1730000000000,202213,LECTURER TEXTILE DESIGN-2022,NULL,1
1740000000000,202212,MEDICAL SPECIALIST-2022,NULL,1
1730000000000,202211,ASSISTANT RESEARCH OFFICER-2022,NULL,1
1740000000000,202210,ASSISTANT PROFESSOR [DEPT. OF MEDICAL EDUCATION ]-2022,NULL,1
1740000000000,202209,DENTAL SURGEON - 2022 ,NULL,1
1730000000000,202208,DEPUTY SUPERINTENDENT OF POLICE (RADIO)-2022,NULL,1
1740000000000,202207,"MINING OFFICER, ASSISTANT GEOLOGIST & MINING INSPECTOR-2022",NULL,1
1740000000000,202206,ASSISTANT DIRECTOR (DEPT. OF REVENUE & DISASTER MANAGEMENT) - 2022 ,NULL,1
1730000000000,202205,LAW OFFICER (CGPSC)-2022,NULL,1
1740000000000,202204,ASSISTANT REGISTRAR (DEPT. OF COMMERCE AND INDUSTRY)-2022,NULL,1
1740000000000,202203,"SCIENTIFIC OFFICER, CHEMISTRY - 2022",NULL,1
1740000000000,202202,"ASSISTANT DIRECTOR (DEPT. OF PLANNING, ECONOMICS & STATISTICS ) - 2022",NULL,1
1730000000000,202201,UNANI MEDICAL OFFICER - 2022,NULL,1
1740000000000,202118, PRACHARYA (VERG-1 & VERG-2)-2021,NULL,1
1730000000000,202117,LAW OFFICER [HOME JAIL DEPT.]-2021,NULL,1
1740000000000,202116,ASSISTANT DIRECTOR RESHAM-2021 ,NULL,1
1730000000000,202115,ASSISTANT DIRECTOR HANDLOOM - 2021 ,NULL,1
1730000000000,202114,DEMONSTRATOR (PHYSIOTHERAPY) & TUTOR-OCCUPATIONAL [MEDICAL EDUCATION DEPT.] - 2021,NULL,1
1740000000000,202113,DEMONSTRATOR [MEDICAL EDUCATION DEPT.]-2021,NULL,1
1730000000000,202112,ASSISTANT PROFESSOR & DEMONSTRATOR (NURSING) [MEDICAL EDUCATION DEPT.]-2021,NULL,1
1740000000000,202111,"JUNIOR RESIDENT, SENIOR REGISTRAR, REGISTRAR [MEDICAL EDUCATION DEPT.]-2021",NULL,1
1740000000000,202110,SENIOR RESIDENT [MEDICAL EDUCATION DEPT.]-2021 ,NULL,1
