item_code,advt_no,details,link,published
1732579200000,202403,ADVERTISEMENT FOR STATE SERVICE EXAMINATION-2024 (26-11-2024),/assets/pdf/Advertisement/ADVT_SSE2024_26112024.pdf,1
1729468800000,202402,"ADVERTISEMENT FOR SUBEDAR, SUB INSPECTOR CADRE & PLATOON COMMANDER RECRUITMENT - 2024 (21-10-2024)",/assets/pdf/Advertisement/ADV_SI_PC_SUBE_2024_21102024.pdf,1
1733788800000,202402,CORRIGENDUM (10-12-2024),/assets/pdf/Advertisement/Corrigendum-SRSIPC2024_10122024.pdf,1
1729123200000,202401,ADVERTISEMENT FOR BOILER INSPECTOR-2024 (17-10-2024),/assets/pdf/Advertisement/ADV_BI_2024_17102024.pdf,1
1700956800000,202311,ADVERTISEMENT FOR STATE SERVICE EXAMINATION-2023 (26-11-2023),/assets/pdf/Advertisement/ADVT_SSE2023_26112023.pdf,1
1706054400000,202311,CORRIGENDUM (24-01-2024),/assets/pdf/Advertisement/Corrigendum-SSE2023_24012024.pdf,1
1716768000000,202311,CORRIGENDUM (27-05-2024),/assets/pdf/Advertisement/Corrigendum_SSE2023_27052024.pdf,1
1693440000000,202310,ADVERTISEMENT FOR VETERINARY ASSISTANT SURGEON-2023 (31-08-2023),/assets/pdf/Advertisement/ADV_VAS_2023_31082023.pdf,1
1692316800000,202309,ADVERTISEMENT FOR PARIVAHAN UP NIRIKSHAK (TECH.) - 2023  (18-08-2023),/assets/pdf/Advertisement/ADV_TSI_2023_18082023.pdf,1
1685577600000,202308,ADVERTISEMENT FOR CIVIL JUDGE (ENTRY LEVEL) EXAM - 2023 (01-06-2023),/assets/pdf/Advertisement/ADV_CJ_2023_01062023.pdf,1
1684886400000,202307,ADVERTISEMENT FOR VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (24-05-2023),/assets/pdf/Advertisement/ADV_SANSKRITI_2023_24052023.pdf,1
1684368000000,202306,"ADVERTISEMENT FOR ASTT. DIRECTOR, AGRICULTURE - 2023 (18-05-2023) ",/assets/pdf/Advertisement/ADA_ADV_2023_18052023.pdf,1
1683936000000,202305,ADVERTISEMENT FOR HOSTEL SUPERINTENDENT GRADE-'D'-2023 (13-05-2023),/assets/pdf/Advertisement/ADV_HSD_2023_13052023.pdf,1
1684368000000,202305,CORRIGENDUM (18-05-2023),/assets/pdf/Advertisement/Corrigendum-HSD2023_18052023.pdf,1
1684540800000,202305,SUCHANA PATRA (20-05-2023),/assets/pdf/Advertisement/SUCHANA_PATRA_HSD_2023_20052023.pdf,1
1683504000000,202304,ADVERTISEMENT FOR LECTURER (MEDICAL EDUCATION (AYUSH) DEPT.) - 2023 (08-05-2023),/assets/pdf/Advertisement/ADV_LECT_2023_08052023.pdf,1
1683504000000,202303,"ADVERTISEMENT FOR ASSISTANT DIRECTOR, TECHNICAL-2023 (08-05-2023)",/assets/pdf/Advertisement/ADV_ADTECH_2023_08052023.pdf,1
1683504000000,202302,ADVERTISEMENT FOR DISTRICT AYURVED OFFICER-2023 (08-05-2023),/assets/pdf/Advertisement/ADV_DAO_2023_08052023.pdf,1
1675209600000,202301,"ADVERTISEMENT FOR READER, MEDICAL EDUCATION (AYUSH) DEPT. - 2023 (01-02-2023)",/assets/pdf/Advertisement/ADV_READER_AYUSH_2023_01022023.pdf,1
1679356800000,202301,SUCHANA PATRA (21-03-2023),/assets/PDF/Advertisement/SUCHANA_PATRA_READER_2023_21032023.pdf,1
1670457600000,202229,ADVERTISEMENT FOR CIVIL JUDGE (ENTRY LEVEL) EXAM -2022 (08-12-2022),/assets/pdf/Advertisement/ADV_CJ_2022_08122022.pdf,1
1670544000000,202229,CORRIGENDUM (09-12-2022),/assets/pdf/Advertisement/Corrigendum_CJ2022_09122022.pdf,1
1683504000000,202229,CORRIGENDUM (08-05-2023),/assets/pdf/Advertisement/Corrigendum-CJ2022_08052023.pdf,1
1669420800000,202228,ADVERTISEMENT FOR STATE SERVICE EXAMINATION-2022 (26-11-2022),/assets/pdf/Advertisement/ADV_SSE_2022_26112022.pdf,1
1671062400000,202228,CORRIGENDUM (15-12-2022),/assets/pdf/Advertisement/Corrigendum_SSE2022_15122022.pdf,1
1683676800000,202228,CORRIGENDUM (10-05-2023),/assets/pdf/Advertisement/Corrigendum-SSPE2022_10052023.pdf,1
1654128000000,202227,ADVERTISEMENT FOR LECTURER (MEDICAL EDUCATION (AYUSH) DEPT.)-2022 (02-06-2022),/assets/pdf/Advertisement/ADV_LECT_2022_02062022.pdf,1
1657065600000,202227,CORRIGENDUM (06-07-2022),/assets/pdf/Advertisement/Corrigendum_LECTURER_06072022.pdf,1
1654128000000,202226,ADVERTISEMENT FOR AYURVEDA MEDICAL OFFICER-2022  (02-06-2022),/assets/pdf/Advertisement/ADV_AMO_2022_02062022.pdf,1
1654128000000,202225,ADVERTISEMENT FOR PEON (CHHATTISGARH PUBLIC SERVICE COMMISSION)-2022 (02-06-2022),/assets/pdf/Advertisement/ADV_PEON_CGPSC_2022_02062022.pdf,1
1654473600000,202225,SUCHANA (06-06-2022),/assets/pdf/Advertisement/Notice_Peon_GAD_CGPSC_06062022.pdf,1
1653955200000,202224,ADVERTISEMENT FOR PEON (GENERAL ADMINISTRATION DEPT.)-2022 (31-05-2022),/assets/pdf/Advertisement/ADV_PEON_GAD_2022_31052022.pdf,1
1654473600000,202224,SUCHANA (06-06-2022),/assets/pdf/Advertisement/Notice_Peon_GAD_CGPSC_06062022.pdf,1
1653609600000,202223,ADVERTISEMENT FOR CASUALTY MEDICAL OFFICER AND GENERAL DUTY MEDICAL OFFICER-2022 (27-05-2022),/assets/pdf/Advertisement/ADV_CMO_GMO_2022_27052022.pdf,1
1656633600000,202223,CORRIGENDUM (01-07-2022),/assets/pdf/Advertisement/Corrigendum_CMO_GDMO_01072022.pdf,1
1656633600000,202223,DEPARTMENTAL CIRCULAR RELATED TO AGE RELAXATION- CASUALTY MEDICAL OFFICER (01-07-2022) ,/assets/pdf/Advertisement/depart_cir_cmo_01072022.pdf,1
1656633600000,202223,DEPARTMENTAL CIRCULAR RELATED TO AGE RELAXATION- GENERAL DUTY MEDICAL OFFICER-2022 (01-07-2022) ,/assets/pdf/Advertisement/depart_cir_GDMO_01072022.pdf,1
1661126400000,202223,CORRIGENDUM (22-08-2022),/assets/pdf/Advertisement/Corrigendum_CMO_2022_22082022.pdf,1
1653523200000,202222,ADVERTISEMENT FOR PHYSIOTHERAPIST-2022 (26-05-2022),/assets/pdf/Advertisement/Adv_Physiotherapist_2022_26052022.pdf,1
1656633600000,202222,CORRIGENDUM (01-07-2022),/assets/pdf/Advertisement/Corrigendum_physio_01072022.pdf,1
1656633600000,202222,DEPARTMENTAL CIRCULAR RELATED TO AGE RELAXATION (01-07-2022),/assets/pdf/Advertisement/depart_cir_physio_01072022.pdf,1
1653004800000,202221,ADVERTISEMENT FOR VETERINARY ASSISTANT SURGEON-2022 (20-05-2022)),/assets/pdf/Advertisement/ADV_VAS_2022_20052022.pdf,1
1652227200000,202220,ADVERTISEMENT FOR  FIRE OFFICER TECHNICAL OFFICER-2022  (11-05-2022),/assets/pdf/Advertisement/ADV_FIRE_OFFICER_2022_11052022.pdf,1
1651190400000,202219,ADVERTISEMENT FOR BOILER INSPECTOR-2022 (29-04-2022),/assets/pdf/Advertisement/ADV_BOILER_INSPECTOR_2022_29042022.pdf,1
1649635200000,202218,ADVERTISEMENT FOR SAHAYAK KSHETRIYA PRIVAHAN ADHIKARI & PARIVAHAN UP NIRIKSHAK (TECH.) -2022 (11-04-2022),/assets/pdf/Advertisement/ADV_ARTO_TSI_2022_11042022.pdf,1
1648166400000,202217,ADVERTISEMENT FOR VISHESHGYA CHIKITSAK (AYUSH VING/THERAPY CENTER)-2022 (25-03-2022),/assets/pdf/Advertisement/ADV_VC_2022_25032022.pdf,1
1648166400000,202216,ADVERTISEMENT FOR HOMOEOPATHY MEDICAL OFFICER - 2022 (25-03-2022),/assets/pdf/Advertisement/ADV_HMO_2022_25032022.pdf,1
1652400000000,202216,CORRIGENDUM (13-05-2022),/assets/pdf/Advertisement/Corrigendum_HMO_VCA_13052022.pdf,1
1647475200000,202215,"ADVERTISEMENT FOR ASSISTANT DIRECTOR, INDUSTRIAL HYGIENE-2022 (17-03-2022)",/assets/pdf/Advertisement/ADV_AD_IH_2022_17032022.pdf,1
1647388800000,202214,ADVERTISEMENT FOR SCIENTIFIC OFFICER - 2022 (16-03-2022),/assets/pdf/Advertisement/ADV_SO_2022_16032022.pdf,1
